agrupacao de interes economico,aie
sociedad anónima mónaco,sam
sociedad anónima omanaise close,saog
sociedad anónima omanaise generale,saoc
sociedad anónima qatar,saq
sociedad anónima,sa
sociedad anónima,sadecv
sociedad anonima unipersonal,sau
sociedad anónima uruguaya,sa
sociedad civil,sc
sociedad colectiva,sc
sociedad comanditaria por acciones,scompa
sociedad de responsabilidad limitada o a,srl
sociedad en comandita por acciones,scompa
sociedad en comandita,scom
sociedad en comandita (simple),scom
sociedad gestora de insitituciones de inversion,sgiic
sociedad limitada unipersonal,slu
sociedad por quotas de responsabilidade limitada,ltda
sociedad regular colectiva,src
societa a garanzia limitata,sagl
societa cooperativa agricola,scagr
societa cooperativa,socoop
societa di gestione del risparmio,sgr
societa in accomandita per azioni,sapa
societa in accomandita semplice,sias
societa in nome collettivo,snc
societa per azioni o a,spa
societas cooperativa europaea,sce
societa semplice,ss
societas europaea,se
societate in comandita pe actiuni,sca
societate in comandita simpla,scs
societate in nume colectiv,snc
societate pe actiuni,sa
societe a finalite sociale,sfs
societe anonyme d'economie mixte,saem
societe anonyme egyptienne,sae
societe anonyme koweit,sak
societe anonyme libanaise,sal
societe anonyme monaco,sam
societe anonyme,sa
societe a responsabilite limitee,sarl
societe civile financiere,scf
societe civile immobiliere,sci
societe civile,sc
societe cooperative a responsabilite limitee,scrl
societe cooperative,socoop
societe de groupe d’assurance mutuelle,sgam
societe d’investissement a capital fixe,sicaf
societe d'investissement a capital variable - fonds d’investissement specialises,sicav-fis
societe d'investissement a capital variable,sicav
societe en commandite par actions,sca
societe en commandite simple,scs
societe en nom collectif,snc
societe en participation,sp
societe par actions simplifiée a associe unique,sasu
societe par actions simplifiée,sas
societe privee a responsabilite limitee,sprl
sogo-gaisha,sogo gaisha
sole proprietorship,sprop
sole tradership,st
sole traders/proprietorships,osvc
sougo kaisha,sk
special purpose company,spc
spolecnost s rucenim omezenym,sro
spolka akcyjna,sa
spolka cywilna,scy
spolka jawna,spj
spolka komandytowa,spk
spolka komandytowo-akcyjna,ska
spolka partnerska,spp
spolka z ograniczona odpowiedzialnoscia spolka komandytowa,spzoosk
spolka z ograniczona odpowiedzialnoscia,spzoo
staatliche einheit,pubbod
statsforetak,sf
taisühing,tu
theoranta,teo
tikroji ukine bendrija,tub
tokusyu hojin,th
tokutei mokuteki kaisha,tmk
toshi jigyo yugen sekininn kumiai,tjysk
towarischtschestwo s ogranitschennoj otwetstwennostju,too
trust / treuhandverhaltnis,trust
uitgesloten aansprakelijkheid,ua
ukine bendrija,ub
unincorporated association,uia
union de cooperatives agricoles a capital variable,udcaacv
unlimited liability company,ulc
unlimited,unltd
unternehmergesellschaft & co kg,ugcokg
unternehmergesellschaft & co kg,ugucokg
unternehmergesellschaft,ug
usaldusuhing,uu
vennootschap onder firma,vof
verein,v
verejna obchodna spolocnost (o a ),vos
vereniging zonder winstoogmerk,vzw
versicherungsverein auf gegenseitigkeit,vvag
versicherungsverein,vv
waarborgmaatschappij,wbm
wettelijke aansprakelijkheid,wa
with limited liability,wll
wohnungseigentuemergemeinschaft,weg
wohnungseigentumergemeinschaft,weg
yugen sekinin jigyo kumiai,ysjk
zaidan hojin,zh
zakrytoe akzionernoje obschtschestwo,zao
zartkoruen mukodo reszvenytarsasag,zrt
zemes ukio bendrove,zub
zentralbank,centralbank
zivnostnik,osvc
